task,task_type,split,metric,ablation,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm,component,contribution,contribution_ci95_low,contribution_ci95_high
esol,reg,scaffold,rmse,mat_noattention,mat,0.5103342163223402,0.49940691815870536,5,0.010927298163634913,-0.02874513339292982,0.050599729720199646,0.7647386940778713,0.4870522411077955,4.0,0.4375,True,1.0,1.0,False,False,False,False,self-attention,-0.010927298163634913,-0.050599729720199646,0.02874513339292982
esol,reg,scaffold,mae,mat_nograph,mat,0.4119367204608538,0.3895278024921523,5,0.02240891796870149,-0.03298188801613028,0.07779972395353327,1.1232393084155121,0.3241915563951397,4.0,0.4375,True,0.9725746691854191,1.0,False,False,False,False,graph structure,-0.02240891796870149,-0.07779972395353327,0.03298188801613028
esol,reg,scaffold,mae,mat_nodistance,mat,0.38333746008100184,0.3895278024921523,5,-0.006190342411150529,-0.03898337587217736,0.0266026910498763,-0.5241096682124099,0.6279019198884321,6.0,0.8125,False,1.0,1.0,False,False,False,False,3D distances,0.006190342411150529,-0.0266026910498763,0.03898337587217736
esol,reg,scaffold,mae,mat_noattention,mat,0.38767446663884336,0.3895278024921523,5,-0.0018533358533089571,-0.030920507088739387,0.027213835382121476,-0.1770273831096121,0.8680892358637176,7.0,1.0,False,1.0,1.0,False,False,False,False,self-attention,0.0018533358533089571,-0.027213835382121476,0.030920507088739387
esol,reg,scaffold,r2,mat_nograph,mat,0.609573599579995,0.6662025213138378,5,-0.05662892173384282,-0.1716089013536614,0.05835105788597576,-1.3674301654986258,0.24328863840829737,3.0,0.3125,True,0.5289866850905982,0.9375,False,False,False,False,graph structure,0.05662892173384282,-0.05835105788597576,0.1716089013536614
esol,reg,scaffold,r2,mat_nodistance,mat,0.7094000874782663,0.6662025213138378,5,0.04319756616442845,-0.029929689602686965,0.11632482193154386,1.640095336212784,0.1763288950301994,3.0,0.3125,False,0.5289866850905982,0.9375,False,False,False,False,3D distances,-0.04319756616442845,-0.11632482193154386,0.029929689602686965
esol,reg,scaffold,r2,mat_noattention,mat,0.6967942983146341,0.6662025213138378,5,0.030591777000796183,-0.03456018455720772,0.09574373855880008,1.3036658832987775,0.2623147552141207,4.0,0.4375,False,0.5289866850905982,0.9375,False,False,False,False,self-attention,-0.030591777000796183,-0.09574373855880008,0.03456018455720772
estrogen-alpha,clf,random,roc_auc,mat_nograph,mat,0.9470412217664442,0.953088718343466,5,-0.0060474965770216825,-0.011021114462508174,-0.0010738786915351906,-3.375921242154278,0.0278904558893225,0.0,0.0625,True,0.055780911778645,0.1875,True,False,False,False,graph structure,0.0060474965770216825,0.0010738786915351906,0.011021114462508174
estrogen-alpha,clf,random,roc_auc,mat_nodistance,mat,0.9516469995484869,0.953088718343466,5,-0.0014417187949789857,-0.006290390825652756,0.003406953235694785,-0.825556578392628,0.4554471494589675,5.0,0.625,True,0.4554471494589675,0.625,False,False,False,False,3D distances,0.0014417187949789857,-0.003406953235694785,0.006290390825652756
estrogen-alpha,clf,random,roc_auc,mat_noattention,mat,0.9251069941375816,0.953088718343466,5,-0.027981724205884295,-0.033629051998527164,-0.022334396413241427,-13.75689955657143,0.00016177939449508896,0.0,0.0625,True,0.0004853381834852669,0.1875,True,False,True,False,self-attention,0.027981724205884295,0.022334396413241427,0.033629051998527164
estrogen-alpha,clf,random,pr_auc,mat_nograph,mat,0.9370879036521087,0.9428429064633285,5,-0.005755002811219967,-0.012819295842137295,0.0013092902196973621,-2.261861068854384,0.08650223945430047,0.0,0.0625,True,0.17300447890860093,0.1875,False,False,False,False,graph structure,0.005755002811219967,-0.0013092902196973621,0.012819295842137295
estrogen-alpha,clf,random,pr_auc,mat_nodistance,mat,0.9413765642267757,0.9428429064633285,5,-0.0014663422365529533,-0.008318883154300022,0.005386198681194115,-0.5941181197004434,0.5844047493368665,6.0,0.8125,True,0.5844047493368665,0.8125,False,False,False,False,3D distances,0.0014663422365529533,-0.005386198681194115,0.008318883154300022
estrogen-alpha,clf,random,pr_auc,mat_noattention,mat,0.89873569783763,0.9428429064633285,5,-0.044107208625698766,-0.056821408009225846,-0.031393009242171685,-9.63184859688642,0.0006497274899694768,0.0,0.0625,True,0.0019491824699084304,0.1875,True,False,True,False,self-attention,0.044107208625698766,0.031393009242171685,0.056821408009225846
estrogen-alpha,clf,random,f1,mat_nograph,mat,0.8628037397574181,0.8796625866598283,5,-0.016858846902410286,-0.028060282450078293,-0.0056574113547422766,-4.178720018723033,0.013932694501722045,0.0,0.0625,True,0.02786538900344409,0.1875,True,False,True,False,graph structure,0.016858846902410286,0.0056574113547422766,0.028060282450078293
estrogen-alpha,clf,random,f1,mat_nodistance,mat,0.8820969393751673,0.8796625866598283,5,0.0024343527153391385,-0.0032216941504307865,0.008090399581109064,1.1949771353084921,0.2981027242248818,3.0,0.3125,False,0.2981027242248818,0.3125,False,False,False,False,3D distances,-0.0024343527153391385,-0.008090399581109064,0.0032216941504307865
estrogen-alpha,clf,random,f1,mat_noattention,mat,0.8516838835008498,0.8796625866598283,5,-0.027978703158978678,-0.03393118508324508,-0.02202622123471228,-13.050242642291133,0.00019900549342213324,0.0,0.0625,True,0.0005970164802663997,0.1875,True,False,True,False,self-attention,0.027978703158978678,0.02202622123471228,0.03393118508324508
estrogen-alpha,clf,scaffold,roc_auc,mat_nograph,mat,0.9286746126381308,0.9369245008403378,5,-0.008249888202206934,-0.012702522966042696,-0.0037972534383711714,-5.14422649337501,0.006771443320918977,0.0,0.0625,True,0.013542886641837955,0.1875,True,False,True,False,graph structure,0.008249888202206934,0.0037972534383711714,0.012702522966042696
estrogen-alpha,clf,scaffold,roc_auc,mat_nodistance,mat,0.9322030778643813,0.9369245008403378,5,-0.004721422975956613,-0.011568167658356467,0.0021253217064432428,-1.914599173656991,0.12806552191919998,0.0,0.0625,True,0.12806552191919998,0.1875,False,False,False,False,3D distances,0.004721422975956613,-0.0021253217064432428,0.011568167658356467
estrogen-alpha,clf,scaffold,roc_auc,mat_noattention,mat,0.9120400016776999,0.9369245008403378,5,-0.024884499162637973,-0.032946743292284864,-0.016822255032991083,-8.569629594983617,0.0010182912261511128,0.0,0.0625,True,0.0030548736784533383,0.1875,True,False,True,False,self-attention,0.024884499162637973,0.016822255032991083,0.032946743292284864
estrogen-alpha,clf,scaffold,pr_auc,mat_nograph,mat,0.9120568996397418,0.9194682864872199,5,-0.0074113868474782185,-0.01674057592647019,0.0019178022315137523,-2.2056910371497844,0.09206688917801185,1.0,0.125,True,0.1841337783560237,0.25,False,False,False,False,graph structure,0.0074113868474782185,-0.0019178022315137523,0.01674057592647019
estrogen-alpha,clf,scaffold,pr_auc,mat_nodistance,mat,0.9165092336960712,0.9194682864872199,5,-0.002959052791148764,-0.013639628953058657,0.0077215233707611285,-0.7692138994623071,0.48467043795990455,5.0,0.625,True,0.48467043795990455,0.625,False,False,False,False,3D distances,0.002959052791148764,-0.0077215233707611285,0.013639628953058657
estrogen-alpha,clf,scaffold,pr_auc,mat_noattention,mat,0.8800944215108251,0.9194682864872199,5,-0.039373864976394765,-0.052448133012255094,-0.026299596940534433,-8.361414527114418,0.0011187011781241003,0.0,0.0625,True,0.003356103534372301,0.1875,True,False,True,False,self-attention,0.039373864976394765,0.026299596940534433,0.052448133012255094
estrogen-alpha,clf,scaffold,f1,mat_nograph,mat,0.8406752597629034,0.8547599923180534,5,-0.014084732555150147,-0.028737019678401726,0.0005675545681014336,-2.6688998401287516,0.05586993566162887,0.0,0.0625,True,0.11173987132325774,0.1875,False,False,False,False,graph structure,0.014084732555150147,-0.0005675545681014336,0.028737019678401726
estrogen-alpha,clf,scaffold,f1,mat_nodistance,mat,0.8474011928145831,0.8547599923180534,5,-0.007358799503470248,-0.024008561465009168,0.009290962458068673,-1.2271228206588436,0.28706073415278116,3.0,0.3125,True,0.28706073415278116,0.3125,False,False,False,False,3D distances,0.007358799503470248,-0.009290962458068673,0.024008561465009168
estrogen-alpha,clf,scaffold,f1,mat_noattention,mat,0.8193324542609839,0.8547599923180534,5,-0.03542753805706962,-0.06485351430386162,-0.006001561810277629,-3.3427137235075812,0.028763045978297326,0.0,0.0625,True,0.08628913793489199,0.1875,True,False,False,False,self-attention,0.03542753805706962,0.006001561810277629,0.06485351430386162
estrogen-beta,clf,random,roc_auc,mat_nograph,mat,0.8781014677899919,0.892889893788032,5,-0.014788425998039978,-0.024287047764976803,-0.005289804231103153,-4.322653747384555,0.012421391487968099,0.0,0.0625,True,0.024842782975936197,0.1875,True,False,True,False,graph structure,0.014788425998039978,0.005289804231103153,0.024287047764976803
estrogen-beta,clf,random,roc_auc,mat_nodistance,mat,0.8882608119931221,0.892889893788032,5,-0.004629081794909595,-0.013174771210385466,0.003916607620566276,-1.5039619235122053,0.207028629173889,3.0,0.3125,True,0.207028629173889,0.3125,False,False,False,False,3D distances,0.004629081794909595,-0.003916607620566276,0.013174771210385466
