task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
estrogen-beta,clf,random,pr_auc,mat_nograph,rf,0.904503012600381,0.9492676857755664,25,-0.04476467317518543,-0.053405823274453965,-0.03612352307591689,-10.691834248526046,1.3102133616277136e-10,0.0,5.960464477539063e-08,True,6.551066808138568e-10,4.172325134277344e-07,True,True,True,True
estrogen-beta,clf,random,pr_auc,mat_noattention,rf,0.8556504759303682,0.9492676857755664,25,-0.09361720984519838,-0.10269673647624933,-0.08453768321414742,-21.280451348901302,4.3602813342083916e-17,0.0,5.960464477539063e-08,True,3.052196933945874e-16,4.172325134277344e-07,True,True,True,True
estrogen-beta,clf,random,pr_auc,mat_nodistance,rf,0.9126443362854217,0.9492676857755664,25,-0.03662334949014471,-0.04379418708774777,-0.02945251189254165,-10.54087159357448,1.7398956811060438e-10,0.0,5.960464477539063e-08,True,6.959582724424175e-10,4.172325134277344e-07,True,True,True,True
estrogen-beta,clf,random,pr_auc,hybrid,rf,0.9460388843507491,0.9492676857755664,25,-0.0032288014248173804,-0.007589504842330242,0.001131901992695482,-1.5281751539672186,0.13954265502221377,119.0,0.25210392475128174,True,0.13954265502221377,0.25210392475128174,False,False,False,False
estrogen-beta,clf,random,f1,svm,rf,0.8969890346186508,0.8889704655517431,25,0.008018569066907481,0.00440642024466012,0.011630717889154842,4.581625502685884,0.00012033320356602519,29.0,0.0005459353541811291,False,0.00024066640713205038,0.0010918707083622582,True,True,True,True
estrogen-beta,clf,random,f1,gcn,rf,0.8654828422156265,0.8889704655517431,25,-0.02348762333611662,-0.03229348166978395,-0.014681765002449292,-5.504979773991351,1.164240828465975e-05,8.0,1.4901161193847656e-06,True,3.4927224853979247e-05,5.9604644775390625e-06,True,True,True,True
estrogen-beta,clf,random,f1,mat,rf,0.862741796799789,0.8889704655517431,25,-0.02622866875195427,-0.03315337575386418,-0.01930396175004436,-7.8174154799106566,4.737438963381956e-08,8.0,1.4901161193847656e-06,True,2.368719481690978e-07,5.9604644775390625e-06,True,True,True,True
estrogen-beta,clf,random,f1,mat_nograph,rf,0.8428270685847511,0.8889704655517431,25,-0.046143396966992184,-0.056605456557764396,-0.03568133737621997,-9.102919917681001,2.9814265324816884e-09,0.0,5.960464477539063e-08,True,1.788855919489013e-08,4.172325134277344e-07,True,True,True,True
estrogen-beta,clf,random,f1,mat_noattention,rf,0.8357609734562932,0.8889704655517431,25,-0.05320949209544995,-0.06422273571591298,-0.04219624847498692,-9.971539537789642,5.196751678806999e-10,0.0,5.960464477539063e-08,True,3.6377261751648993e-09,4.172325134277344e-07,True,True,True,True
estrogen-beta,clf,random,f1,mat_nodistance,rf,0.8542200209832739,0.8889704655517431,25,-0.03475044456846946,-0.04595291735992234,-0.02354797177701658,-6.402282236786103,1.2779610633269293e-06,0.0,5.960464477539063e-08,True,5.111844253307717e-06,4.172325134277344e-07,True,True,True,True
estrogen-beta,clf,random,f1,hybrid,rf,0.8809113411611529,0.8889704655517431,25,-0.008059124390590306,-0.012193163371500247,-0.003925085409680365,-4.023478083909964,0.0004965494049713599,43.0,0.0007149577140808105,True,0.0004965494049713599,0.0010918707083622582,True,True,True,True
freesolv,reg,random,rmse,svm,rf,0.47135323739144735,0.5884149249147209,25,-0.11706168752327363,-0.12676283383890274,-0.1073605412076445,-24.90462885935404,1.1718444041049737e-18,0.0,5.960464477539063e-08,False,8.202910828734816e-18,4.172325134277344e-07,True,True,True,True
freesolv,reg,random,rmse,gcn,rf,0.3383197652610324,0.5884149249147209,25,-0.2500951596536886,-0.28140262956130707,-0.21878768974607016,-16.48715280418657,1.3624361196255549e-14,0.0,5.960464477539063e-08,False,6.812180598127775e-14,4.172325134277344e-07,True,True,True,True
freesolv,reg,random,rmse,mat,rf,0.3685804545577206,0.5884149249147209,25,-0.21983447035700032,-0.24820168492764966,-0.191467255786351,-15.994381331874456,2.6620434251614615e-14,0.0,5.960464477539063e-08,False,1.0648173700645846e-13,4.172325134277344e-07,True,True,True,True
freesolv,reg,random,rmse,mat_nograph,rf,0.3759514864682525,0.5884149249147209,25,-0.21246343844646845,-0.244883940291997,-0.1800429366009399,-13.52548418582509,1.0100596488296184e-12,0.0,5.960464477539063e-08,False,3.0301789464888555e-12,4.172325134277344e-07,True,True,True,True
