task,task_type,model,metric,random_mean,scaffold_mean,gap,gap_ci95_low,gap_ci95_high,welch_t,welch_p,n_random,n_scaffold,scaffold_worse
estrogen-beta,clf,rf,pr_auc,0.9492676857755664,0.9230123070931516,0.026255378682414787,0.012229018698583758,0.04028173866624582,3.82807116730843,0.000635303991599062,25,25,True
estrogen-beta,clf,rf,f1,0.8889704655517431,0.854198291405272,0.03477217414647105,0.015342453311792594,0.054201894981149495,3.669379491428319,0.0010356906704824197,25,25,True
estrogen-alpha,clf,gcn,roc_auc,0.955969115099853,0.9485623305312655,0.0074067845685875655,0.0009472997015051035,0.013866269435670028,2.3230139721181455,0.025758506801389556,25,25,True
estrogen-alpha,clf,gcn,pr_auc,0.9457645022405022,0.935917573315237,0.009846928925265286,-0.002515707128320395,0.022209564978850967,1.6167009475922616,0.11487637037624521,25,25,True
estrogen-alpha,clf,gcn,f1,0.8784302613522195,0.8617679014845787,0.016662359867640752,-0.0007638669299891709,0.034088586665270676,1.9445011023378285,0.060302162098110706,25,25,True
estrogen-alpha,clf,hybrid,roc_auc,0.9686539933551463,0.9477975113948177,0.020856481960328632,0.013418915581186859,0.028294048339470405,5.722581033017502,2.8460788302730663e-06,25,25,True
estrogen-alpha,clf,hybrid,pr_auc,0.9634711354847245,0.9399153336995922,0.02355580178513228,0.013002166973006773,0.034109436597257785,4.559727689745887,8.163793436590829e-05,25,25,True
estrogen-alpha,clf,hybrid,f1,0.9065873892374495,0.8594335504607945,0.04715383877665502,0.03200872890374266,0.062298948649567386,6.376224203326654,6.540411421915928e-07,25,25,True
estrogen-alpha,clf,mat_nodistance,roc_auc,0.9516469995484869,0.9322030778643813,0.01944392168410558,0.010689505767492016,0.028198337600719145,4.512731121636525,7.213173542646913e-05,25,25,True
estrogen-alpha,clf,mat_nodistance,pr_auc,0.9413765642267756,0.9165092336960712,0.024867330530704446,0.010249056300721723,0.03948560476068717,3.462719989134079,0.0015174690675205898,25,25,True
estrogen-alpha,clf,mat_nodistance,f1,0.8820969393751673,0.8474011928145831,0.03469574656058416,0.0177526722819439,0.05163882083922443,4.1559587351672205,0.00019601699802940443,25,25,True
estrogen-alpha,clf,mat_noattention,roc_auc,0.9251069941375815,0.9120400016776997,0.013066992459881743,0.0044252823011883425,0.021708702618575146,3.0717589402263203,0.004145310888974078,25,25,True
estrogen-alpha,clf,mat_noattention,pr_auc,0.8987356978376301,0.8800944215108251,0.018641276326805012,-0.0008104173100933684,0.03809296996370339,1.9547369162470105,0.0597062056855794,25,25,True
estrogen-alpha,clf,mat_noattention,f1,0.8516838835008497,0.8193324542609838,0.03235142923986589,0.007536360311315021,0.05716649816841676,2.671760132429572,0.01248870436525131,25,25,True
estrogen-alpha,clf,mat,roc_auc,0.9530887183434659,0.9369245008403378,0.01616421750312802,0.007771818218518087,0.024556616787737955,3.9179508903285667,0.0004222324827670106,25,25,True
