task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
freesolv,reg,scaffold,rmse,mat_large_pretrained,mat,0.4419424645197675,0.4548508173679117,5,-0.012908352848144188,-0.11777226401500748,0.0919555583187191,-0.34176994432686314,0.7497247458937564,6.0,0.8125,False,1.0,1.0,False,False,False,False
freesolv,reg,scaffold,rmse,mat_large_scratch,mat,0.44416994740240245,0.4548508173679117,5,-0.010680869965509354,-0.05565579654929957,0.03429405661828086,-0.6593640365314298,0.54568994098738,5.0,0.625,False,1.0,1.0,False,False,False,False
freesolv,reg,scaffold,mae,mat_large_pretrained,mat,0.3408053902173905,0.35307229303901905,5,-0.012266902821628668,-0.12541409976777396,0.10088029412451661,-0.30100950986226166,0.7784053952442453,6.0,0.8125,False,1.0,1.0,False,False,False,False
freesolv,reg,scaffold,mae,mat_large_scratch,mat,0.3389539878766395,0.35307229303901905,5,-0.014118305162379607,-0.074276801891443,0.0460401915666838,-0.651590405230991,0.5502075761737675,5.0,0.625,False,1.0,1.0,False,False,False,False
freesolv,reg,scaffold,r2,mat_large_pretrained,mat,0.6856206426240702,0.6730175719692612,5,0.01260307065480899,-0.14847023997617567,0.17367638128579363,0.2172410419387959,0.838651558769584,6.0,0.8125,False,1.0,1.0,False,False,False,False
freesolv,reg,scaffold,r2,mat_large_scratch,mat,0.6877850111593883,0.6730175719692612,5,0.014767439190127152,-0.04637125461836843,0.07590613299862273,0.6706225092763979,0.5391932718910748,5.0,0.625,False,1.0,1.0,False,False,False,False
metstab-high,clf,random,roc_auc,mat_large_pretrained,mat,0.7902762430939226,0.773889502762431,5,0.0163867403314917,-0.029167695933378562,0.06194117659636196,0.9987366481495203,0.3744436975700115,5.0,0.625,False,0.661935514087899,0.875,False,False,False,False
metstab-high,clf,random,roc_auc,mat_large_scratch,mat,0.7439116022099448,0.773889502762431,5,-0.02997790055248626,-0.10526839469236565,0.045312593587393125,-1.1054781377636234,0.3309677570439495,4.0,0.4375,True,0.661935514087899,0.875,False,False,False,False
metstab-high,clf,random,pr_auc,mat_large_pretrained,mat,0.3855498625160002,0.38438764673625225,5,0.0011622157797479438,-0.08735532068543515,0.08967975224493104,0.03645411340761885,0.9726669816732234,7.0,1.0,False,0.9726669816732234,1.0,False,False,False,False
metstab-high,clf,random,pr_auc,mat_large_scratch,mat,0.3450596166483726,0.38438764673625225,5,-0.03932803008787966,-0.13914656119521415,0.06049050101945483,-1.09390626593324,0.3354517312636536,4.0,0.4375,True,0.6709034625273071,0.875,False,False,False,False
