task,task_type,split,metric,ablation,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm,component,contribution,contribution_ci95_low,contribution_ci95_high
estrogen-alpha,clf,random,roc_auc,mat_nodistance,mat,0.9516469995484869,0.9530887183434659,25,-0.0014417187949789278,-0.0038755769327391953,0.00099213934278134,-1.222569755017571,0.23336301799150694,115.0,0.20993918180465698,True,0.23336301799150694,0.20993918180465698,False,False,False,False,3D distances,0.0014417187949789278,-0.00099213934278134,0.0038755769327391953
estrogen-alpha,clf,random,roc_auc,mat_noattention,mat,0.9251069941375815,0.9530887183434659,25,-0.027981724205884295,-0.032094250935941405,-0.023869197475827185,-14.042812152030573,4.5220905210745057e-13,0.0,5.960464477539063e-08,True,1.3566271563223517e-12,1.7881393432617188e-07,True,True,True,True,self-attention,0.027981724205884295,0.023869197475827185,0.032094250935941405
estrogen-alpha,clf,random,pr_auc,mat_nograph,mat,0.9370879036521086,0.9428429064633286,25,-0.0057550028112198955,-0.010147390434115312,-0.0013626151883244786,-2.70416526135557,0.012387783358079184,80.0,0.02550506591796875,True,0.024775566716158368,0.0510101318359375,True,True,True,False,graph structure,0.0057550028112198955,0.0013626151883244786,0.010147390434115312
estrogen-alpha,clf,random,pr_auc,mat_nodistance,mat,0.9413765642267756,0.9428429064633286,25,-0.0014663422365529177,-0.004951065795885318,0.0020183813227794825,-0.8684710799429303,0.39373840570018714,140.0,0.5601714849472046,True,0.39373840570018714,0.5601714849472046,False,False,False,False,3D distances,0.0014663422365529177,-0.0020183813227794825,0.004951065795885318
estrogen-alpha,clf,random,pr_auc,mat_noattention,mat,0.8987356978376301,0.9428429064633286,25,-0.044107208625698745,-0.05200817941566715,-0.03620623783573034,-11.521723957717693,2.887123263657193e-11,0.0,5.960464477539063e-08,True,8.66136979097158e-11,1.7881393432617188e-07,True,True,True,True,self-attention,0.044107208625698745,0.03620623783573034,0.05200817941566715
estrogen-alpha,clf,random,f1,mat_nograph,mat,0.8628037397574181,0.8796625866598283,25,-0.016858846902410303,-0.027015605134230992,-0.0067020886705896135,-3.4257928640637068,0.0022126481297635174,38.0,0.0003764033317565918,True,0.004425296259527035,0.0007528066635131836,True,True,True,True,graph structure,0.016858846902410303,0.0067020886705896135,0.027015605134230992
estrogen-alpha,clf,random,f1,mat_nodistance,mat,0.8820969393751673,0.8796625866598283,25,0.0024343527153390765,-0.003509090823308536,0.00837779625398669,0.8453444598258638,0.4062676508010299,134.0,0.457846462726593,False,0.4062676508010299,0.457846462726593,False,False,False,False,3D distances,-0.0024343527153390765,-0.00837779625398669,0.003509090823308536
estrogen-alpha,clf,random,f1,mat_noattention,mat,0.8516838835008497,0.8796625866598283,25,-0.027978703158978668,-0.03632054263448058,-0.019636863683476752,-6.922358716637731,3.697113490661806e-07,2.0,1.7881393432617188e-07,True,1.1091340471985418e-06,5.364418029785156e-07,True,True,True,True,self-attention,0.027978703158978668,0.019636863683476752,0.03632054263448058
estrogen-alpha,clf,scaffold,roc_auc,mat_nograph,mat,0.9286746126381309,0.9369245008403378,25,-0.008249888202206982,-0.012279311659638477,-0.004220464744775487,-4.225649791839095,0.00029749344523101993,38.0,0.0003764033317565918,True,0.0005949868904620399,0.0007528066635131836,True,True,True,True,graph structure,0.008249888202206982,0.004220464744775487,0.012279311659638477
estrogen-alpha,clf,scaffold,roc_auc,mat_nodistance,mat,0.9322030778643813,0.9369245008403378,25,-0.004721422975956644,-0.009779344370889329,0.0003364984189760398,-1.9265894678942705,0.06595262575253931,96.0,0.07547956705093384,True,0.06595262575253931,0.07547956705093384,False,False,False,False,3D distances,0.004721422975956644,-0.0003364984189760398,0.009779344370889329
