task,task_type,split,model,metric,n,mean,std,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high,median,min,max
metstab-low,clf,random,mat_large_scratch,roc_auc,5,0.6917095728451563,0.04595202232249587,0.6346526010826574,0.7487665446076552,0.6550343249427918,0.7285898169336384,0.7032322654462243,0.6229023646071702,0.7397025171624713
metstab-low,clf,random,mat_large_scratch,pr_auc,5,0.7024544574817613,0.05468627268090076,0.6345524814979326,0.7703564334655899,0.6603132917042533,0.7500719875087883,0.6830910695434476,0.6514916249031917,0.7736626723120226
metstab-low,clf,random,mat_large_scratch,f1,5,0.7116108537826316,0.009906573969399025,0.6993102175392862,0.7239114900259769,0.7039189189189189,0.7197665727927809,0.7125,0.6981981981981982,0.7257383966244726
bbbp,clf,scaffold,mat_large_pretrained,roc_auc,5,0.8954648621484264,0.023971830500113492,0.8656999032453925,0.9252298210514602,0.8772831433429621,0.9161694306594248,0.8940208794685225,0.8642700501253133,0.9309346567411084
bbbp,clf,scaffold,mat_large_pretrained,pr_auc,5,0.9599815479572195,0.010903852401167596,0.946442626988962,0.973520468925477,0.9530918425952859,0.9696873345842011,0.9560949049367398,0.9522860855479311,0.978509953271781
bbbp,clf,scaffold,mat_large_pretrained,f1,5,0.9131368605081109,0.026358120681785027,0.8804089309972284,0.9458647900189935,0.8923277193096115,0.9339460017066104,0.905785123966942,0.8873720136518771,0.9409888357256778
bbbp,clf,scaffold,mat_large_scratch,roc_auc,5,0.8824551335110093,0.020642643841263367,0.8568239058255699,0.9080863611964488,0.864060513574314,0.8961448262583446,0.8849075814536342,0.8480688692415076,0.9032032567128584
bbbp,clf,scaffold,mat_large_scratch,pr_auc,5,0.9492827336809565,0.015396660732457206,0.9301652543569068,0.9684002130050062,0.9369469458197797,0.9609055563721588,0.9568011161428772,0.9299455203664724,0.9647688638959522
bbbp,clf,scaffold,mat_large_scratch,f1,5,0.9009846717987472,0.02490527177557581,0.8700606924695343,0.9319086511279601,0.8851701012071699,0.9222383935585203,0.8949152542372881,0.8805755395683453,0.9430379746835444
esol,reg,scaffold,mat_large_pretrained,rmse,5,0.7552148372192414,0.224755856985779,0.4761435812145651,1.0342860932239177,0.5775154499757476,0.9329142244627352,0.7190688040067392,0.5041937694504038,0.996199862278119
esol,reg,scaffold,mat_large_pretrained,mae,5,0.6684108837496622,0.23123759122300017,0.38129149169670357,0.9555302758026207,0.4862125707193915,0.8506091967799329,0.6160090127334058,0.4157607115311879,0.9158175776237732
esol,reg,scaffold,mat_large_pretrained,r2,5,-0.2749346752677795,0.718865895290003,-1.1675245769858946,0.6176552264503357,-0.8407945660468906,0.29092521551133155,-0.0793370781639113,-1.0716155335496964,0.4693463491923334
esol,reg,scaffold,mat_large_scratch,rmse,5,0.6069480990995396,0.016609817855423134,0.5863242862517386,0.6275719119473406,0.5963150806208356,0.6216470659900578,0.6038876545439625,0.5919325294703939,0.6346575092334736
esol,reg,scaffold,mat_large_scratch,mae,5,0.5229328094948481,0.022449754210455915,0.49505775792320156,0.5508078610664946,0.5093040980059993,0.542984155350523,0.5139686031701419,0.5072711868756432,0.5616150445014003
esol,reg,scaffold,mat_large_scratch,r2,5,0.23055171878406777,0.04261975256327334,0.17763230641389857,0.28347113115423694,0.19276223237437953,0.25767967095461636,0.2387478927063751,0.1591954622441376,0.2685904638303414
freesolv,reg,scaffold,mat_large_pretrained,rmse,5,0.4419424645197675,0.08516115886975557,0.3362009195058806,0.5476840095336544,0.3874076493716542,0.5164889214444839,0.4134229107872019,0.3717271872771515,0.5851995952160052
freesolv,reg,scaffold,mat_large_pretrained,mae,5,0.3408053902173905,0.09227748144167576,0.2262277636663455,0.45538301676843546,0.2829580062951304,0.42343101266183353,0.3050625104898293,0.2769755655409474,0.4980394088320042
freesolv,reg,scaffold,mat_large_pretrained,r2,5,0.6856206426240702,0.1290154472496223,0.5254268065620571,0.8458144786860833,0.5719344290042516,0.7650206072946742,0.7328233720715036,0.4646751336260837,0.783997867441547
freesolv,reg,scaffold,mat_large_scratch,rmse,5,0.44416994740240245,0.05526691806279179,0.3755470049521564,0.5127928898526485,0.402824675198894,0.4855152196059108,0.4611499012145498,0.3880623235448922,0.5158275911892595
freesolv,reg,scaffold,mat_large_scratch,mae,5,0.3389539878766395,0.06986624696299594,0.2522035843330742,0.4257043914202048,0.2897138629402769,0.3944114357331081,0.3276780919711056,0.2695113554547884,0.4479497935818998
freesolv,reg,scaffold,mat_large_scratch,r2,5,0.6877850111593883,0.07706146388911998,0.5921005657993884,0.7834694565193882,0.630553367132203,0.7450166551865737,0.6675750416270032,0.5840716475659553,0.7645968081396276
estrogen-alpha,clf,scaffold,mat_large_pretrained,roc_auc,5,0.9475255650002714,0.02200652429487566,0.9202008560577277,0.9748502739428151,0.9300474297983179,0.965003124260719,0.943627450980392,0.9245462713387242,0.9703492392807748
estrogen-alpha,clf,scaffold,mat_large_pretrained,pr_auc,5,0.9395655307946174,0.029680981778620254,0.9027117242887626,0.9764193373004721,0.9168401734259252,0.9619369005421378,0.923895512997,0.9089120712281008,0.9723469427228968
estrogen-alpha,clf,scaffold,mat_large_pretrained,f1,5,0.8602981149527839,0.03498457482324373,0.8168590279022963,0.9037372020032715,0.836952231964015,0.8909186242070618,0.854251012145749,0.8272921108742004,0.9173228346456692
estrogen-alpha,clf,scaffold,mat_large_scratch,roc_auc,5,0.9335638163500827,0.02137436977317917,0.9070240309184313,0.960103601781734,0.9154800290037969,0.9493984532185229,0.9418482207697894,0.9028391734052112,0.9542490627720626
estrogen-alpha,clf,scaffold,mat_large_scratch,pr_auc,5,0.9210708043018274,0.023014947236920023,0.8924939728971846,0.9496476357064703,0.903891005508109,0.9388111280313932,0.9079794754468492,0.8983535963407503,0.9489076860713154
estrogen-alpha,clf,scaffold,mat_large_scratch,f1,5,0.8609566594468137,0.030321287808491044,0.8233078079958356,0.8986055108977917,0.8405879132403051,0.8873243746747913,0.8571428571428571,0.8342644320297952,0.9121495327102804
