family,task,split,n_configs,val_roc_auc,config,val_rmse
svm,estrogen-beta,scaffold,6,0.9472222222222222,"{""C"": 1.0, ""class_weight"": ""balanced""}",
svm,metstab-high,random,6,0.8782758620689655,"{""C"": 1.0, ""class_weight"": ""balanced""}",
svm,metstab-high,scaffold,6,0.8927586206896553,"{""C"": 1.0, ""class_weight"": ""balanced""}",
svm,metstab-low,random,6,0.8458159618820726,"{""C"": 10.0, ""class_weight"": ""balanced""}",
svm,metstab-low,scaffold,6,0.8971027479091995,"{""C"": 1.0, ""class_weight"": null}",
gcn,bbbp,random,4,0.9421171171171172,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 2}",
gcn,bbbp,scaffold,4,0.8984962406015038,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""lr"": 0.001, ""n_layers"": 3}",
gcn,esol,random,4,,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""lr"": 0.001, ""n_layers"": 3}",0.5622365535811813
gcn,esol,scaffold,4,,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 3}",0.4112279896768934
gcn,freesolv,random,4,,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 3}",0.4294603499939599
gcn,freesolv,scaffold,4,,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 2}",0.3602646915921595
gcn,estrogen-alpha,random,4,0.9822960790702728,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""lr"": 0.001, ""n_layers"": 3}",
gcn,estrogen-alpha,scaffold,4,0.9860566448801744,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 2}",
gcn,estrogen-beta,random,4,0.9573252688172044,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 3}",
gcn,estrogen-beta,scaffold,4,0.9552083333333334,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 3}",
gcn,metstab-high,random,4,0.859655172413793,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 3}",
gcn,metstab-high,scaffold,4,0.8220689655172414,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""lr"": 0.001, ""n_layers"": 3}",
gcn,metstab-low,random,4,0.815589636688505,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 2}",
gcn,metstab-low,scaffold,4,0.8685782556750298,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""lr"": 0.001, ""n_layers"": 2}",
mat,bbbp,random,6,0.905855855855856,"{""N"": 4, ""batch_size"": 64, ""d_model"": 64, ""distance_matrix_kernel"": ""softmax"", ""dropout"": 0.1, ""h"": 4, ""lr"": 0.001}",
mat,bbbp,scaffold,6,0.9212737726669616,"{""N"": 2, ""batch_size"": 64, ""d_model"": 128, ""distance_matrix_kernel"": ""softmax"", ""dropout"": 0.1, ""h"": 4, ""lr"": 0.0005}",
mat,esol,random,6,,"{""N"": 4, ""batch_size"": 64, ""d_model"": 64, ""distance_matrix_kernel"": ""softmax"", ""dropout"": 0.1, ""h"": 4, ""lr"": 0.001}",0.4015015990033677
mat,esol,scaffold,6,,"{""N"": 2, ""batch_size"": 64, ""d_model"": 128, ""distance_matrix_kernel"": ""softmax"", ""dropout"": 0.1, ""h"": 4, ""lr"": 0.001}",0.338904794022806
mat,freesolv,random,6,,"{""N"": 4, ""batch_size"": 64, ""d_model"": 64, ""distance_matrix_kernel"": ""softmax"", ""dropout"": 0.1, ""h"": 4, ""lr"": 0.0005}",0.3598599185802666
