run_key,tag,model,task,task_type,split,seed,fold,roc_auc,pr_auc,f1,rmse,mae,r2,val_roc_auc,val_pr_auc,val_f1,val_rmse,val_mae,val_r2,best_epoch,epochs_run,n_params,wall_time_s,n_train,n_val,n_test,config,cfg_hash,max_epochs,patience,device,torch_version,error
rf|freesolv|scaffold|42|0|cfg3|4474551912,cfg3,rf,freesolv,reg,scaffold,42,0,,,,0.5698309634415704,0.49676362889305065,0.4924235351503191,,,,0.516274038742722,0.38695049977426593,0.6158703485802656,-1,0,0,16.8,441,49,152,"{""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",4474551912,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|random|42|0|cfg0|edfef33ce5,cfg0,rf,estrogen-alpha,clf,random,42,0,0.9684315231048444,0.9661318392840889,0.9010526315789473,,,,0.9736070381231672,0.9708620088276194,0.9109947643979057,,,,-1,0,0,19.4,1720,192,479,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",edfef33ce5,60,10,cpu,2.7.0+cpu,
rf|freesolv|scaffold|42|0|cfg2|e85f1c4d9f,cfg2,rf,freesolv,reg,scaffold,42,0,,,,0.5082714157966256,0.41539854000850324,0.5961679708048346,,,,0.4593310355614923,0.3065296599905442,0.695933315031942,-1,0,0,21.1,441,49,152,"{""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",e85f1c4d9f,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|random|42|0|cfg2|29e6f4c405,cfg2,rf,estrogen-alpha,clf,random,42,0,0.968501326259947,0.965204260056229,0.8940677966101694,,,,0.9797979797979798,0.9788279884410938,0.9090909090909091,,,,-1,0,0,14.9,1720,192,479,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",29e6f4c405,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|random|42|0|cfg3|b6b0971be3,cfg3,rf,estrogen-alpha,clf,random,42,0,0.9682919167946391,0.9649830749617416,0.8964059196617337,,,,0.9794721407624634,0.978478434438997,0.91005291005291,,,,-1,0,0,14.1,1720,192,479,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",b6b0971be3,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|random|42|0|cfg1|c86bf6a1fe,cfg1,rf,estrogen-alpha,clf,random,42,0,0.968440248499232,0.9653547073566225,0.8987341772151899,,,,0.9753448463125882,0.972864528986287,0.91005291005291,,,,-1,0,0,20.8,1720,192,479,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",c86bf6a1fe,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|scaffold|42|0|cfg1|c86bf6a1fe,cfg1,rf,estrogen-alpha,clf,scaffold,42,0,0.9542048517520216,0.9623703849122182,0.8897196261682243,,,,0.9660675381263617,0.9616758182236494,0.8901098901098901,,,,-1,0,0,19.7,1724,192,475,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",c86bf6a1fe,60,10,cpu,2.7.0+cpu,
rf|estrogen-alpha|scaffold|42|0|cfg0|edfef33ce5,cfg0,rf,estrogen-alpha,clf,scaffold,42,0,0.9549865229110512,0.9628609400886523,0.8897196261682243,,,,0.9643246187363834,0.9601522832267976,0.8901098901098901,,,,-1,0,0,22.2,1724,192,475,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",edfef33ce5,60,10,cpu,2.7.0+cpu,
rf|bbbp|scaffold|42|0|cfg5|71b4fb1310,cfg5,rf,bbbp,clf,scaffold,42,0,0.9344086021505376,0.9718057160236997,0.9570747217806042,,,,0.8750552852720036,0.9557374893322911,0.8825910931174089,,,,-1,0,0,143.4,1408,157,388,"{""class_weight"": ""balanced"", ""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",71b4fb1310,60,10,cpu,2.7.0+cpu,
rf|bbbp|scaffold|42|0|cfg7|63ba4c2c86,cfg7,rf,bbbp,clf,scaffold,42,0,0.9354011579818031,0.9757830045610347,0.9569377990430622,,,,0.8869969040247677,0.9596882121683747,0.8825910931174089,,,,-1,0,0,125.7,1408,157,388,"{""class_weight"": ""balanced"", ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",63ba4c2c86,60,10,cpu,2.7.0+cpu,
